segment_id,time_to_eruption
1136037770,12262005
1969647810,32739612
1895879680,14965999
2068207140,26469720
192955606,31072429
1640671020,22264866
288840453,34952168
1162441568,9504818
1791400073,11719563
2059516238,11629084
591342465,43069893
1307215143,40763190
995888455,529841
874143536,925464
573797974,18448502
661349045,1096562
98049952,16644956
139656908,46573581
260955881,6277972
859183068,10412406
952401993,18193401
511978994,25418076
1003154738,1891688
1225949488,3600069
1581535482,47810569
1961905320,23494242
1798529911,5142989
1809144248,4931804
1826631403,1846267
1847054966,34371250
2072789669,17866148
1049342028,20039978
1087653736,15126522
678169850,17808441
823017486,6227679
1098612833,32331124
2102366851,1993608
1537766774,41038586
1243491909,10349522
794676693,44476899
1090755834,7412828
914704761,4282611
978309515,20364404
1557614721,23711741
1663507226,40819831
536501947,43098610
1918352299,25014032
1413955161,6955341
176160971,28425095
1201950963,4716683
1899738295,31368571
1737493119,3544851
1202935850,4208163
1728354879,26997712
1324761660,6732691
1381856680,28256064
1740565995,28152400
696971052,33561672
1804779174,25240759
1937012872,37178418
1592618501,34021266
155056884,7914663
672285731,29786268
1750688026,11802407
932998594,15898458
211419569,35662591
1890593527,5734891
1111981902,40140117
1456047002,11002440
2088969715,6792416
1160064144,21021604
1158288485,31005903
798681796,42496889
92541280,27256080
1317554940,28574695
1038903770,12844995
958203396,31020902
1622981665,22494834
685475461,5453412
742086401,40875911
1002575641,9924307
2124458115,36668090
1051215459,39027962
713667596,27769677
2073948542,18701561
1858051447,5739511
1307328343,45421344
1738967219,22805350
1986171846,21903369
349291703,14964357
1655117264,17587182
1486668961,5813305
1328518626,24795441
986058423,5930797
1358458285,17690649
650067382,19138821
1881373644,27410437
1079693590,44830265
82371649,273119
1990660302,2100262
2041042967,38302199
1745355323,24181921
357626827,25337458
550557709,30404152
2065822600,27033520
1884847148,33847537
63240694,40703751
148601568,3546541
1972765916,5452143
608936534,41478190
2058785060,18705104
1413419956,14812529
1047698781,42753277
1194762613,38733309
735284814,8151334
802939805,33743320
1648977848,905192
532994678,7088400
1565193330,15053544
1726437005,21379271
2091456928,29326728
1825350523,36512926
253775072,15732427
1816226657,39962047
1842050033,29859410
1519481245,16347266
1070821612,29318853
557080555,43798513
231743972,27645115
1901334447,22001305
325942881,35783999
391889473,26055298
184996575,15009926
922683102,6996188
1964629036,13711404
895093954,47362238
719416315,5612613
1073019591,32035743
176524368,37094886
1329263976,38723640
1516882705,14454962
1305758519,22894091
1581973088,33129711
795941707,42380802
2109398679,19349131
963052072,32638919
431034914,9536195
564399178,25805060
1243250306,15918903
1772142112,2463684
1566899404,7843656
1478302828,44424042
1591648528,11236488
1720926032,7457448
1866515652,30057078
1541433823,44039612
1368969105,41641143
1512687161,14285865
1421646167,13295155
844506946,3475585
1588195813,37849965
176793362,40165333
1290142372,32919533
117353587,39530436
1207889265,5107382
1751225823,29457928
972733285,27313265
2142835830,20686189
268136318,10997394
559180520,30130135
2029121195,43190417
697929895,5383738
1981928952,28993038
1345496888,35887276
429578330,22141838
1248281726,37555576
1192163654,24350781
1218932007,38030277
1928017333,28243271
1957796636,24177634
829175298,26603831
318487088,8336642
1205512045,16095563
1622505642,31201502
1332087486,20651770
1778817952,16552095
978341311,36048263
147205244,15559380
1833020166,41925615
808480147,46184123
730012471,27742695
1156048155,31574789
1124990118,21310001
950978902,33564143
2133970291,11414233
1859080601,2525893
80983984,34598467
288954511,37456771
1587797749,34430384
1106409037,11536123
827663810,18946673
1904644745,6648378
1105888187,25054246
100519902,4357018
1397337085,5270014
1596656076,18532567
1448402324,21542756
1110429957,7773440
1312630419,2901003
1313787407,3421039
939311744,13622266
348481867,46297071
701259694,21554893
1931174724,5851521
1973493369,47042081
1876661931,5739338
1375203977,30132470
2000902559,13353813
796943128,8213206
1731539296,37152618
2081858668,34049161
1839339142,4012852
556944814,30540612
28922321,32253208
180412483,41331696
2109045312,4337116
958278520,26481755
301803983,13656473
1469260621,1580085
375594805,36029555
1040427269,20682439
1832562741,41262439
1238398453,14442539
1193696136,4102739
679487700,5315391
1965835461,40303568
1711869645,10523062
1838044713,28976160
1723838806,9260641
768285401,42779545
608666976,28679884
1775977748,40463545
1546922076,4557852
1288880407,29103272
418024334,9531699
359406630,46328304
1120996406,2778919
1625600951,31100303
1883687008,29480676
1622409915,47013253
